Contracts,Agency name,Description,Procurment stage,Contract location,Awarded value,Awarded supplier,Publiscation date
Maintenance of Laminar Flow Cabinets and Safety Cabinet,NHS Blood & Transplant,"...Safety Cabinets (MSC) and Laminar Air Flow (LAF) cabinets to provide...cabinets to provide operator and environmental protection for various processes...cabinets must be maintained, serviced and inspected to the highest standards,...safety cabinets and Medicines and Healthcare Products Regulatory Agency -...",Awarded contract,Any region,"£96,933.87",Crowthorne Hi-Tec Services,10 October 2019
ORT0050 - Cabinets & Associated Items,NATIONAL HIGHWAYS LIMITED,"""CABINET-0014-1-000 - T - Key Standard (to MCX 0061)...for Cabinet 600) CABINET-0202-2-000 - Cabinet 600 MK 6 - Stego...Heater with integral thermostat (MCX1092A004)...- Cabinet 600 MK6 Complete â€"" (To Paint...CABINET-0009-2-000 (TR1153E with RAL Colour 6005 instead of...",Awarded contract,England,"£27,848.20",Clearview Intelligence LTD,17 May 2022
"Mechanical, Electrical and Networking Works for NHS Arden and GEM CSU",NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,...cabinets • Installation of uninterruptable...of existing devices in data cabinets...• Removal of redundant equipment to safe storage...related to communications cabinet • Other associated...related to network cabling within communications...,Awarded contract,South East,"£108,000","COMBINED COMMUNICATIONS (ESSEX) LIMITED, METWAY.COMMS LIMITED",1 December 2022
TMTii 01 - Order 9 - Hill & Smith,Highways Agency,Cabinet 609D Complete - Includes CABINET-0009-2-000 x 200...Type 9300 (64k) x 600 Roadside Controller Version 2 x 20...Green with a matt finish) Includes: CABINET-0009-2-000...2 Cabinet 609D Complete - (To Paint Specification RAL 6005...Green with a matt finish) Includes CABINET-0009-2-000...,Awarded contract,Any region,"£757,203.30",Hill & Smith Ltd,14 June 2018
(NU/1645) The Supply of a Hydrogen Peroxide Vapour Fumigation Unit For Microbiological Safety,Newcastle University,"...II biological safety cabinet as well as small, enclosed spaces. The required unit...decontamination of cabinets in various campus locations. The expectation is that...cabinets that possess an existing 1-inch HPV connector. The scope of the contract is...Class II cabinet types, to ensure maximum use across...",Awarded contract,England,"£62,256",Bioquell UK Ltd,18 March 2021
Provision of Cabinet Refresh in Lincolnshire for AGEM CSU,NHS Arden and Greater East Midlands Commissioning Support Unit,...requiring the installation of new network cabinets and cabinet refresh/ tidy...and cabinet refresh/ tidy to be performed. This piece of work will help these GP...For example the new cabinets will help support the installation of new...Health and Social Care Network (HSCN). All new cabinets are required to have...,Awarded contract,East Midlands,"£30,350",Trisoft Limited,15 May 2019
"2335/JS - MRI PET Facility - Shielded Laminar Airflow Cabinet, Shielded Safe and Shielded",UNIVERSITY OF SHEFFIELD,...and training of a:- • Shielded Laminar Airflow Cabinet • Shielded (Benchtop) Safe (plus stand) • Shielded Under Bench Cabinet (Double) The full technical...Under Bench Cabinet (Double) The full technical specification can be found in the tender documentation which will be sent to you once you have expressed your interest....,Awarded contract,Yorkshire and the Humber,"£60,000",BARTEC TECHNOLOGIES LIMITED,10 February 2020
"Safety Cabinet, Laminar Flow Cabinet, Isolator & Downdraft Table Service & Maintenance","DEPARTMENT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS","APHA requires the provision of a service and maintenance contract for MSCs, laminar flow cabinets, flexible film isolators and downdraft tables. The contract will include Preventative Maintenance visits and Corrective Maintenance visits, to be carried out on-site as and when required.",Awarded contract,Any region,"£65,995.60",Clean Air Technologies Ltd,22 March 2016
MSC Phase 1 - Regional Labs,Defra Network eTendering Portal,...Safety Cabinets (MSC) across the estate. A microbiological...safety cabinet is an item of basic laboratory equipment...contamination of biological samples. The cabinets are used to...areas requires access to Microbiological safety cabinets on a...undergoing an upgrade of existing Microbiological Safety Cabinets...,Awarded contract,Any region,"£109,660",Interserve Facilities Management Limited,"10 August 2021, last edited 4 November 2021"
MSC Phase 1,Defra Network eTendering Portal,...Safety Cabinets (MSC) across the estate. A microbiological...safety cabinet is an item of basic laboratory equipment...contamination of biological samples. The cabinets are used to...areas requires access to Microbiological safety cabinets on a...undergoing an upgrade of existing Microbiological Safety Cabinets...,Awarded contract,KT15 3NB,"£124,777",T-Squared,"10 August 2021, last edited 4 November 2021"
